,county_fips_code,county,state,avg_temp,var_temp,infection_rate
0,6073,San Diego County,CA,61.462921348314595,0.3871759907495622,0.15428453814398888
1,1097,Mobile County,AL,63.559550561797764,0.0006569992310428377,0.15741761654687286
2,34015,Gloucester County,NJ,47.056179775280896,2.5038522598156807,0.1615720357645223
3,26065,Ingham County,MI,30.737078651685394,13.890975786459471,0.15580610520987942
4,29077,Greene County,MO,45.150561797752836,0.6649307364772532,0.15254650322582602
5,42007,Beaver County,PA,42.71685393258428,0.9375402554773822,0.15798411371860854
6,55133,Waukesha County,WI,37.28876404494383,0.7476380536204082,0.154060820576934
7,6097,Sonoma County,CA,52.46741573033706,0.8665685003041442,0.15280644024397264
8,13057,Cherokee County,GA,59.77191011235953,0.39934374677210516,0.15604317297399653
9,25027,Worcester County,MA,37.91123595505619,0.3940629770116242,0.166628606835199
10,42089,Monroe County,PA,44.57640449438203,0.21242588745681676,0.1748430573745513
11,48201,Harris County,TX,60.90786516853933,0.0071304271728775785,0.1548238022580191
12,16083,Twin Falls County,ID,40.87528089887642,5.363220682076407,0.1566578931886605
14,25011,Franklin County,MA,55.14382022471909,0.003515181163994584,0.16382356480162125
15,48309,McLennan County,TX,62.74494382022471,0.376371268549656,0.15257556805118794
16,48321,Matagorda County,TX,62.74494382022471,0.376371268549656,0.15774642420713977
17,17031,Cook County,IL,25.27303370786517,7.46297046975244,0.16895344519148728
18,1089,Madison County,AL,43.20674157303371,0.2720906594667798,0.15359228837777225
19,9013,Tolland County,CT,41.171910112359555,0.4129303146985572,0.15937745164170153
20,24021,Frederick County,MD,46.8179775280899,1.4208821200261648,0.15974297097977977
21,29099,Jefferson County,MO,54.123595505617985,0.9568909027785728,0.1544800118870787
22,36053,Madison County,NY,43.20674157303371,0.2720906594667798,0.15807439358841227
23,12113,Santa Rosa County,FL,64.538202247191,0.08051326450976233,0.15412164211000975
24,12117,Seminole County,FL,72.52696629213483,0.002542737372462171,0.15400505930387712
25,25023,Plymouth County,MA,36.823595505617995,15.408831658651929,0.17486463128605717
26,45083,Spartanburg County,SC,54.844943820224735,0.035002524933719914,0.15378048793199597
27,6019,Fresno County,CA,58.11685393258426,2.830769315742966,0.15249245071319115
28,53063,Spokane County,WA,40.44382022471911,2.929555783819762,0.1538555745558833
29,22033,East Baton Rouge Parish,LA,65.13258426966293,0.0036586433072040457,0.16519586893777627
30,28151,Washington County,MS,42.71685393258428,0.9375402554773822,0.15763267970879172
31,13077,Coweta County,GA,57.55168539325844,0.000700683453650171,0.15544982309340025
32,17111,McHenry County,IL,40.264044943820224,0.5156033013508396,0.1560253374951173
33,9009,New Haven County,CT,43.428089887640446,0.4328690276709788,0.1738114471260383
34,39035,Cuyahoga County,OH,41.487640449438196,0.9854550045334044,0.15666078666758793
35,42045,Delaware County,PA,39.92696629213484,0.18851822256142944,0.16822575152581312
36,13223,Paulding County,GA,57.55168539325844,0.000700683453650171,0.1543292338684443
37,36083,Rensselaer County,NY,40.510112359550575,1.5528803755265033,0.15582113459150143
38,36105,Sullivan County,NY,44.57640449438203,0.21242588745681676,0.180176641802477
39,37071,Gaston County,NC,56.76067415730339,0.7344404546028351,0.15308707957051826
40,42003,Allegheny County,PA,42.71685393258428,0.9375402554773822,0.15486265356590878
41,13045,Carroll County,GA,50.31123595505617,0.7619983702700551,0.16149061789304472
42,19183,Washington County,IA,42.71685393258428,0.9375402554773822,0.17227285833523032
43,34041,Warren County,NJ,46.012359550561804,0.7617892741963245,0.1742930516369486
44,42107,Schuylkill County,PA,45.69662921348315,1.9511173405561721,0.15817712349408247
45,37063,Durham County,NC,55.452808988764026,0.41555135370878593,0.15667916410911484
46,45051,Horry County,SC,59.152808988764036,0.8301644793471922,0.15321295284286804
47,34005,Burlington County,NJ,44.760674157303384,2.176442497503755,0.16604310077913928
48,42017,Bucks County,PA,47.07977528089889,2.3303276818812995,0.16258244243893727
49,1127,Walker County,AL,58.50337078651687,0.0366804151220569,0.15699416990706486
50,13247,Rockdale County,GA,64.52134831460673,0.27046866212943965,0.1574118406383853
51,18079,Jennings County,IN,46.10224719101124,0.045352457793437474,0.16057496544678806
52,48355,Nueces County,TX,69.10337078651685,0.13110329561235426,0.15214675864843963
53,28047,Harrison County,MS,58.91235955056179,0.32984851832298573,0.15410312273057372
54,45079,Richland County,SC,54.844943820224735,0.035002524933719914,0.15762065149388094
55,24510,Baltimore City,MD,48.81460674157302,1.8575713724162504,0.16022274268404788
56,4019,Pima County,AZ,61.95280898876409,5.983790628478936,0.15468097167357822
57,6107,Tulare County,CA,55.964044943820255,3.53439671299536,0.15455798539237875
58,4013,Maricopa County,AZ,66.01348314606744,6.321861105691412,0.1536352254465499
59,6111,Ventura County,CA,56.160674157303376,0.24458345766718995,0.15326505433242266
60,53077,Yakima County,WA,45.298876404494386,2.1331907702195534,0.16393977120783115
61,6053,Monterey County,CA,54.80112359550561,0.21000384478543913,0.15247266065266302
62,22057,Lafourche Parish,LA,68.79775280898875,0.005603989969127217,0.17432253570184605
63,25001,Barnstable County,MA,42.17752808988764,0.34656472724977405,0.16419525173325822
64,44007,Providence County,RI,41.92471910112359,0.4474903449977628,0.1703596371647852
65,8123,Weld County,CO,38.22359550561798,6.051368686231075,0.16581884573083128
